plantName;dateStart;obs;lod;plantVolume;meanVolume
PARIS_SEINE-MOREE;2021-05-03;234417.67382089206;5000;14818.0;14818.0
PARIS_MARNE_AVAL;2021-05-03;375437.84492216306;5000;56732.0;45468.0
PARIS_SEINE-CENTRE;2021-05-03;252055.9423494066;5000;242805.0;203240.0
PARIS_SEINE-AMONT;2021-05-03;256639.29792338915;5000;518029.0;452285.0
PARIS_SEINE-CENTRE;2021-05-05;331672.9857560428;5000;149440.0;203240.0
PARIS_SEINE-MOREE;2021-05-05;154625.73535125525;5000;14818.0;14818.0
PARIS_MARNE_AVAL;2021-05-05;132243.84499582404;5000;59051.0;45468.0
PARIS_SEINE-AMONT;2021-05-05;168070.6312031377;5000;516726.0;452285.0
PARIS_SEINE-CENTRE;2021-05-09;49234.21883837092;5000;151307.0;203240.0
PARIS_SEINE-MOREE;2021-05-10;135691.26728582763;5000;19880.0;14818.0
PARIS_SEINE-AMONT;2021-05-10;22289.790313914255;5000;721400.0;452285.0
PARIS_MARNE_AVAL;2021-05-10;12301.345687511573;5000;68282.0;45468.0
PARIS_SEINE-CENTRE;2021-05-12;89981.55037247868;5000;203240.0;203240.0
PARIS_SEINE-MOREE;2021-05-13;262251.14090634225;5000;19650.0;14818.0
PARIS_SEINE-AMONT;2021-05-13;61014.92521542106;5000;721189.0;452285.0
PARIS_MARNE_AVAL;2021-05-13;115136.98000748358;5000;65577.0;45468.0
PARIS_SEINE-CENTRE;2021-05-16;59399.20304959036;5000;185206.0;203240.0
PARIS_MARNE_AVAL;2021-05-17;50566.44745617036;5000;58954.0;45468.0
PARIS_SEINE-AMONT;2021-05-17;61525.91294777946;5000;767839.0;452285.0
PARIS_SEINE-MOREE;2021-05-17;35049.401793263874;5000;22730.0;14818.0
PARIS_SEINE-AMONT;2021-05-19;111523.81973640328;5000;630247.0;452285.0
PARIS_MARNE_AVAL;2021-05-19;74584.46039468638;5000;64370.0;45468.0
PARIS_SEINE-CENTRE;2021-05-19;55434.43472335107;5000;240315.0;203240.0
PARIS_SEINE-MOREE;2021-05-19;112102.57069008483;5000;24650.0;14818.0
PARIS_SEINE-CENTRE;2021-05-23;71243.09284357185;5000;237509.0;203240.0
PARIS_SEINE-AMONT;2021-05-24;61574.427047341414;5000;650788.0;452285.0
PARIS_MARNE_AVAL;2021-05-24;111694.36861021539;5000;76183.0;45468.0
PARIS_SEINE-MOREE;2021-05-24;65835.25042035653;5000;24390.0;14818.0
PARIS_SEINE-AMONT;2021-05-26;393160.73628485075;5000;776141.0;452285.0
PARIS_SEINE-CENTRE;2021-05-26;159809.0504594711;5000;296099.0;203240.0
PARIS_SEINE-MOREE;2021-05-26;52918.48055936706;5000;26500.0;14818.0
PARIS_MARNE_AVAL;2021-05-26;124007.99790197806;5000;70118.0;45468.0
PARIS_SEINE-CENTRE;2021-05-30;49099.61886301268;5000;153283.0;203240.0
PARIS_MARNE_AVAL;2021-05-31;123320.22038496293;5000;59695.0;45468.0
PARIS_SEINE-MOREE;2021-05-31;95367.65243068436;5000;27040.0;14818.0
PARIS_SEINE-AMONT;2021-05-31;81332.6478419724;5000;537997.0;452285.0
PARIS_SEINE-MOREE;2021-06-02;307361.9105338189;5000;27050.0;14818.0
PARIS_MARNE_AVAL;2021-06-02;440436.4166537337;5000;57236.0;45468.0
PARIS_SEINE-AMONT;2021-06-02;169210.12748872698;5000;532999.0;452285.0
PARIS_SEINE-CENTRE;2021-06-02;907725.6074921916;5000;196032.0;203240.0
PARIS_SEINE-CENTRE;2021-06-06;18281.474840017087;5000;157678.0;203240.0
PARIS_SEINE-MOREE;2021-06-07;24911.89530237558;5000;29630.0;14818.0
PARIS_SEINE-AMONT;2021-06-07;15962.53827989114;5000;539213.0;452285.0
PARIS_MARNE_AVAL;2021-06-07;152663.65759618784;5000;62074.0;45468.0
PARIS_SEINE-AMONT;2021-06-09;18308.66330305955;5000;542038.0;452285.0
PARIS_SEINE-CENTRE;2021-06-09;13967.281681778237;5000;128537.0;203240.0
PARIS_MARNE_AVAL;2021-06-09;13955.71455027469;5000;61798.0;45468.0
PARIS_SEINE-MOREE;2021-06-09;14779.430026345071;5000;28480.0;14818.0
PARIS_SEINE-CENTRE;2021-06-13;3123.3628733406504;5000;157500.0;203240.0
PARIS_MARNE_AVAL;2021-06-14;64478.912461778185;5000;46386.0;45468.0
PARIS_SEINE-AMONT;2021-06-14;258356.11902284937;5000;534394.0;452285.0
PARIS_SEINE-MOREE;2021-06-14;85859.95587701049;5000;29820.0;14818.0
PARIS_MARNE_AVAL;2021-06-16;19220.291676816592;5000;62437.0;45468.0
PARIS_SEINE-CENTRE;2021-06-16;15101.478722832973;5000;158841.0;203240.0
PARIS_SEINE-AMONT;2021-06-16;10016.519553139786;5000;531034.0;452285.0
PARIS_SEINE-MOREE;2021-06-16;33106.99782819598;5000;31520.0;14818.0
PARIS_SEINE-CENTRE;2021-06-20;31316.46823810257;5000;301812.0;203240.0
PARIS_SEINE-AMONT;2021-06-21;8577.968703064178;5000;745730.0;452285.0
PARIS_MARNE_AVAL;2021-06-21;4097.80294831615;5000;85649.0;45468.0
PARIS_SEINE-MOREE;2021-06-21;2512.6322957672874;5000;31720.0;14818.0
PARIS_MARNE_AVAL;2021-06-23;10751.322699360362;5000;74592.0;45468.0
PARIS_SEINE-MOREE;2021-06-23;3418.3999813062974;5000;31300.0;14818.0
PARIS_SEINE-AMONT;2021-06-23;5702.284672518168;5000;770616.0;452285.0
PARIS_SEINE-CENTRE;2021-06-23;12535.708395597054;5000;214012.0;203240.0
PARIS_SEINE-CENTRE;2021-06-27;6481.921323040661;5000;208413.0;203240.0
PARIS_SEINE-MOREE;2021-06-28;27419.160128611715;5000;33510.0;14818.0
PARIS_SEINE-AMONT;2021-06-28;6448.415421596953;5000;597109.0;452285.0
PARIS_MARNE_AVAL;2021-06-28;59282.559812805586;5000;76039.0;45468.0
PARIS_SEINE-CENTRE;2021-06-30;4918.943852944297;5000;257888.0;203240.0
PARIS_SEINE-MOREE;2021-06-30;36245.51356770316;5000;35820.0;14818.0
PARIS_SEINE-AMONT;2021-06-30;21622.463101489648;5000;685433.0;452285.0
PARIS_MARNE_AVAL;2021-06-30;9017.722816115236;5000;77867.0;45468.0
PARIS_SEINE-CENTRE;2021-07-04;17946.124482418007;5000;402216.0;203240.0
PARIS_SEINE-MOREE;2021-07-05;26387.390390405646;5000;31550.0;14818.0
PARIS_MARNE_AVAL;2021-07-05;46733.91465509996;5000;79862.0;45468.0
PARIS_SEINE-AMONT;2021-07-05;4002.4860429574387;5000;736143.0;452285.0
PARIS_MARNE_AVAL;2021-07-07;6079.595840228824;5000;67576.0;45468.0
PARIS_SEINE-MOREE;2021-07-07;14877.441485859516;5000;30820.0;14818.0
PARIS_SEINE-AMONT;2021-07-07;8959.486151716412;5000;483700.0000000008;452285.0
PARIS_SEINE-CENTRE;2021-07-07;14810.710797466212;5000;182541.0;203240.0
PARIS_SEINE-CENTRE;2021-07-11;66861.17132118388;5000;154330.0;203240.0
PARIS_SEINE-AMONT;2021-07-12;25272.090163281482;5000;653113.9999999992;452285.0
PARIS_SEINE-MOREE;2021-07-12;5584.982845199357;5000;31190.0;14818.0
PARIS_MARNE_AVAL;2021-07-12;44864.867817282706;5000;75291.0;45468.0
PARIS_SEINE-AMONT;2021-07-14;25522.269056710444;5000;1004988.0;452285.0
PARIS_MARNE_AVAL;2021-07-14;151318.80739637784;5000;84800.0;45468.0
PARIS_SEINE-MOREE;2021-07-14;33677.792844458054;5000;31710.0;14818.0
PARIS_SEINE-CENTRE;2021-07-18;456516.2554003444;5000;156090.0;203240.0
PARIS_SEINE-MOREE;2021-07-19;59421.95764116803;5000;31450.0;14818.0
PARIS_MARNE_AVAL;2021-07-19;99503.00455401368;5000;71459.0;45468.0
PARIS_SEINE-AMONT;2021-07-19;74702.29978149559;5000;534946.9999999992;452285.0
PARIS_SEINE-CENTRE;2021-07-21;39745.12349333039;5000;177748.0;203240.0
PARIS_SEINE-AMONT;2021-07-21;28607.09293344786;5000;424364.0;452285.0
PARIS_MARNE_AVAL;2021-07-21;125052.63732653364;5000;58353.0;45468.0
PARIS_SEINE-MOREE;2021-07-21;280781.7068779291;5000;31420.0;14818.0
PARIS_SEINE-CENTRE;2021-07-25;43991.92878798832;5000;334000.0;203240.0
PARIS_SEINE-AMONT;2021-07-26;97795.96837159217;5000;590782.0000000008;452285.0
PARIS_SEINE-MOREE;2021-07-26;65955.15443078031;5000;31710.0;14818.0
PARIS_MARNE_AVAL;2021-07-26;90638.49650077836;5000;68741.0;45468.0
PARIS_SEINE-CENTRE;2021-07-28;123814.78978309543;5000;203240.0;203240.0
PARIS_SEINE-AMONT;2021-07-28;135060.13057657488;5000;419259.9999999992;452285.0
PARIS_MARNE_AVAL;2021-07-28;99469.86385968864;5000;53567.0;45468.0
PARIS_SEINE-MOREE;2021-07-28;178059.21707534042;5000;61710.0;14818.0
PARIS_SEINE-CENTRE;2021-08-01;34384.246614227995;5000;187536.0;203240.0
PARIS_SEINE-MOREE;2021-08-02;50896.53164701461;5000;30970.0;14818.0
PARIS_SEINE-AMONT;2021-08-02;358967.7009849418;5000;420756.0;452285.0
PARIS_MARNE_AVAL;2021-08-02;73700.64925353548;5000;63111.0;45468.0
PARIS_SEINE-MOREE;2021-08-04;366623.87163181044;5000;30460.0;14818.0
PARIS_MARNE_AVAL;2021-08-04;437346.378224882;5000;52572.0;45468.0
PARIS_SEINE-CENTRE;2021-08-04;167937.06420246777;5000;167400.0;203240.0
PARIS_SEINE-AMONT;2021-08-04;354592.64503029105;5000;377838.0;452285.0
PARIS_SEINE-CENTRE;2021-08-08;28256.32510891572;5000;183753.0;203240.0
PARIS_SEINE-AMONT;2021-08-09;345973.8346601669;5000;386027.0;452285.0
PARIS_MARNE_AVAL;2021-08-09;311593.87503094;5000;49707.0;45468.0
PARIS_SEINE-MOREE;2021-08-09;75796.31308166374;5000;30390.0;14818.0
PARIS_SEINE-CENTRE;2021-08-11;99127.95940396823;5000;158595.0;203240.0
PARIS_MARNE_AVAL;2021-08-11;112378.54530707456;5000;47984.0;45468.0
PARIS_SEINE-MOREE;2021-08-11;157253.86861823365;5000;30490.0;14818.0
PARIS_SEINE-AMONT;2021-08-11;222036.86411363888;5000;349784.0000000008;452285.0
PARIS_SEINE-CENTRE;2021-08-15;136586.5467694351;5000;131894.0;203240.0
PARIS_MARNE_AVAL;2021-08-16;40613.339203641066;5000;45236.0;45468.0
PARIS_SEINE-AMONT;2021-08-16;192847.3249392109;5000;297692.0;452285.0
PARIS_SEINE-MOREE;2021-08-16;144641.3393427422;5000;29810.0;14818.0
PARIS_MARNE_AVAL;2021-08-18;51494.399513428;5000;44685.0;45468.0
PARIS_SEINE-AMONT;2021-08-18;294410.93009397923;5000;291490.0;452285.0
PARIS_SEINE-MOREE;2021-08-18;408712.353176929;5000;29750.0;14818.0
PARIS_SEINE-CENTRE;2021-08-18;157217.3795610996;5000;132538.0;203240.0
PARIS_SEINE-CENTRE;2021-08-22;27060.934406432414;5000;126916.0;203240.0
PARIS_MARNE_AVAL;2021-08-23;81048.0907302939;5000;47274.0;45468.0
PARIS_SEINE-MOREE;2021-08-23;716264.4863165864;5000;30210.0;14818.0
PARIS_SEINE-AMONT;2021-08-23;168671.58185452918;5000;264249.9999999992;452285.0
PARIS_SEINE-MOREE;2021-08-25;200322.21224965635;5000;30620.0;14818.0
PARIS_MARNE_AVAL;2021-08-25;73171.3413803341;5000;47939.0;45468.0
PARIS_SEINE-AMONT;2021-08-25;167374.6805447394;5000;276225.0;452285.0
PARIS_SEINE-CENTRE;2021-08-25;64987.01066227746;5000;126792.0;203240.0
PARIS_SEINE-CENTRE;2021-08-29;34705.77046044838;5000;186628.0;203240.0
PARIS_SEINE-MOREE;2021-08-30;139046.82851702705;5000;30560.0;14818.0
PARIS_MARNE_AVAL;2021-08-30;625099.9097494157;5000;48811.0;45468.0
PARIS_SEINE-AMONT;2021-08-30;202307.4640118427;5000;452285.0;452285.0
PARIS_SEINE-CENTRE;2021-09-01;225083.99284026865;5000;190548.0;203240.0
PARIS_SEINE-MOREE;2021-09-01;272045.0590326726;5000;29060.0;14818.0
PARIS_MARNE_AVAL;2021-09-01;231385.57302796846;5000;51168.0;45468.0
PARIS_SEINE-AMONT;2021-09-01;102723.02852910149;5000;452285.0;452285.0
PARIS_SEINE-CENTRE;2021-09-05;132564.0559838421;5000;150296.0;203240.0
PARIS_SEINE-MOREE;2021-09-06;78412.11237010072;5000;31030.0;14818.0
PARIS_MARNE_AVAL;2021-09-06;583585.6618714572;5000;38003.0;45468.0
